UPC: 848971016190, BASE TOTAL COST: 49.69, BASE DOLLAR ROI: -19.7, BASE PERCENT ROI: -40, GCG TOTAL COST: 48.74, GCG DOLLAR ROI: -18.75, GCG PERCENT ROI: -38
UPC: 848971015391, BASE TOTAL COST: 52.87, BASE DOLLAR ROI: 11.12, BASE PERCENT ROI: 21, GCG TOTAL COST: 51.85, GCG DOLLAR ROI: 12.14, GCG PERCENT ROI: 23
UPC: 848971015490, BASE TOTAL COST: 44.39, BASE DOLLAR ROI: -10.4, BASE PERCENT ROI: -23, GCG TOTAL COST: 43.54, GCG DOLLAR ROI: -9.55, GCG PERCENT ROI: -22
UPC: 848971016114, BASE TOTAL COST: 46.01, BASE DOLLAR ROI: -18.02, BASE PERCENT ROI: -39, GCG TOTAL COST: 45.12, GCG DOLLAR ROI: -17.13, GCG PERCENT ROI: -38
UPC: 848971016206, BASE TOTAL COST: 49.69, BASE DOLLAR ROI: 10.3, BASE PERCENT ROI: 21, GCG TOTAL COST: 48.74, GCG DOLLAR ROI: 11.25, GCG PERCENT ROI: 23
UPC: 848971015582, BASE TOTAL COST: 69.27, BASE DOLLAR ROI: -27.28, BASE PERCENT ROI: -39, GCG TOTAL COST: 67.93, GCG DOLLAR ROI: -25.94, GCG PERCENT ROI: -38
UPC: 848971015506, BASE TOTAL COST: 44.39, BASE DOLLAR ROI: -10.4, BASE PERCENT ROI: -23, GCG TOTAL COST: 43.54, GCG DOLLAR ROI: -9.55, GCG PERCENT ROI: -22
UPC: 848971016305, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -23.74, BASE PERCENT ROI: -40, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -22.6, GCG PERCENT ROI: -39
UPC: 848971016183, BASE TOTAL COST: 49.69, BASE DOLLAR ROI: 10.3, BASE PERCENT ROI: 21, GCG TOTAL COST: 48.74, GCG DOLLAR ROI: 11.25, GCG PERCENT ROI: 23
UPC: 848971015674, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: -23.74, BASE PERCENT ROI: -40, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: -22.6, GCG PERCENT ROI: -39
UPC: 848971016343, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 12.1, BASE PERCENT ROI: 28, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 12.95, GCG PERCENT ROI: 30
UPC: 848971015841, BASE TOTAL COST: 79.31, BASE DOLLAR ROI: -31.32, BASE PERCENT ROI: -39, GCG TOTAL COST: 77.78, GCG DOLLAR ROI: -29.79, GCG PERCENT ROI: -38
UPC: 848971016299, BASE TOTAL COST: 59.73, BASE DOLLAR ROI: 12.26, BASE PERCENT ROI: 21, GCG TOTAL COST: 58.59, GCG DOLLAR ROI: 13.4, GCG PERCENT ROI: 23
UPC: 848971016350, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: -17.9, BASE PERCENT ROI: -41, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: -17.05, GCG PERCENT ROI: -40
UPC: 848971015377, BASE TOTAL COST: 52.87, BASE DOLLAR ROI: 11.12, BASE PERCENT ROI: 21, GCG TOTAL COST: 51.85, GCG DOLLAR ROI: 12.14, GCG PERCENT ROI: 23
UPC: 848971015322, BASE TOTAL COST: 72.45, BASE DOLLAR ROI: -28.46, BASE PERCENT ROI: -39, GCG TOTAL COST: 71.05, GCG DOLLAR ROI: -27.06, GCG PERCENT ROI: -38
UPC: 848971016336, BASE TOTAL COST: 43.89, BASE DOLLAR ROI: 12.1, BASE PERCENT ROI: 28, GCG TOTAL COST: 43.04, GCG DOLLAR ROI: 12.95, GCG PERCENT ROI: 30
UPC: 848971015421, BASE TOTAL COST: 52.87, BASE DOLLAR ROI: 11.12, BASE PERCENT ROI: 21, GCG TOTAL COST: 51.85, GCG DOLLAR ROI: 12.14, GCG PERCENT ROI: 23
UPC: 848971010389, BASE TOTAL COST: 67.56, BASE DOLLAR ROI: 57.44, BASE PERCENT ROI: 85, GCG TOTAL COST: 66.47999999999999, GCG DOLLAR ROI: 58.52, GCG PERCENT ROI: 88
